seqnames	start	end	width	strand	Median
1	70000001	71000000	1000000	*	0.0291599945383765
1	71000001	72000000	1000000	*	0.0485577766928476
1	72000001	73000000	1000000	*	0.00705961168613135
1	73000001	74000000	1000000	*	0.0181189178950761
1	74000001	75000000	1000000	*	0.0200163979808435
1	75000001	76000000	1000000	*	0.00312701229812416
1	76000001	77000000	1000000	*	0.0347650630444985
1	77000001	78000000	1000000	*	0.0522021757696535
1	78000001	79000000	1000000	*	-0.00822587868065099
1	79000001	80000000	1000000	*	0.0131491348144708
1	80000001	81000000	1000000	*	-0.0150980775954288
1	81000001	82000000	1000000	*	0.0120828842692028
1	82000001	83000000	1000000	*	0.00546369912111238
1	83000001	84000000	1000000	*	-0.0650053373679
1	84000001	85000000	1000000	*	0.0390511852093664
1	85000001	86000000	1000000	*	0.0680885464100473
1	86000001	87000000	1000000	*	0.0217548684612461
1	87000001	88000000	1000000	*	0.034604099340817
1	88000001	89000000	1000000	*	0.0588483924817356
1	89000001	90000000	1000000	*	0.00416667155544525
1	90000001	91000000	1000000	*	0.0122572734281855
1	91000001	92000000	1000000	*	0.0367450388315751
1	92000001	93000000	1000000	*	0.0475514462842785
1	93000001	94000000	1000000	*	0.0152531379191038
1	94000001	95000000	1000000	*	0.041733509492235
1	95000001	96000000	1000000	*	0.0428573172896042
1	96000001	97000000	1000000	*	0.0357861402749199
1	97000001	98000000	1000000	*	0.0377042556824046
1	98000001	99000000	1000000	*	0.0673377066236386
1	99000001	100000000	1000000	*	0.0145817666725925
1	100000001	101000000	1000000	*	0.00341092311281799
1	101000001	102000000	1000000	*	0.0561658104323247
1	102000001	103000000	1000000	*	0.049254783684143
1	103000001	104000000	1000000	*	NA
1	104000001	105000000	1000000	*	-0.219079072139412
1	105000001	106000000	1000000	*	-0.0268807779854364
1	106000001	107000000	1000000	*	-0.0297632069788534
1	107000001	108000000	1000000	*	0.0352987460630089
1	108000001	109000000	1000000	*	-0.20709464311164
1	109000001	110000000	1000000	*	-0.0633645331989594
1	110000001	111000000	1000000	*	-0.0137690643115316
1	111000001	112000000	1000000	*	0.0428907332104144
1	112000001	113000000	1000000	*	0.00739640000914132
1	113000001	114000000	1000000	*	0.0190553348417037
1	114000001	115000000	1000000	*	0.0178869783167104
1	115000001	116000000	1000000	*	0.0323215385661387
1	116000001	117000000	1000000	*	0.0642862416861089
1	117000001	118000000	1000000	*	0.0259255187352315
1	118000001	119000000	1000000	*	0.0335442890493799
1	119000001	120000000	1000000	*	0.0149397595661281
1	120000001	121000000	1000000	*	NA
1	125000001	126000000	1000000	*	NA
1	126000001	127000000	1000000	*	NA
1	127000001	128000000	1000000	*	NA
1	128000001	129000000	1000000	*	NA
1	129000001	130000000	1000000	*	NA
1	130000001	131000000	1000000	*	NA
1	131000001	132000000	1000000	*	NA
1	132000001	133000000	1000000	*	NA
1	133000001	134000000	1000000	*	NA
1	134000001	135000000	1000000	*	NA
1	135000001	136000000	1000000	*	NA
1	136000001	137000000	1000000	*	NA
1	137000001	138000000	1000000	*	NA
1	138000001	139000000	1000000	*	NA
1	139000001	140000000	1000000	*	NA
1	140000001	141000000	1000000	*	NA
1	141000001	142000000	1000000	*	NA
1	142000001	143000000	1000000	*	NA
1	143000001	144000000	1000000	*	NA
1	144000001	145000000	1000000	*	NA
1	145000001	146000000	1000000	*	NA
1	146000001	147000000	1000000	*	NA
1	147000001	148000000	1000000	*	-0.77827956363749
1	148000001	149000000	1000000	*	NA
1	149000001	150000000	1000000	*	NA
1	150000001	151000000	1000000	*	-0.102356002001541
1	151000001	152000000	1000000	*	-0.0392015225234864
1	152000001	153000000	1000000	*	0.0285313763798463
1	153000001	154000000	1000000	*	-0.0244183500398464
1	154000001	155000000	1000000	*	-0.0339303009371477
1	155000001	156000000	1000000	*	-0.107376312548347
1	156000001	157000000	1000000	*	0.026665433864314
1	157000001	158000000	1000000	*	0.108646976164087
1	158000001	159000000	1000000	*	0.0308414835715515
1	159000001	160000000	1000000	*	0.0129590059968929
1	160000001	161000000	1000000	*	-0.00180234889164948
1	161000001	162000000	1000000	*	-0.156045615890653
1	162000001	163000000	1000000	*	0.0450057002936819
1	163000001	164000000	1000000	*	0.0613438134282722
1	164000001	165000000	1000000	*	0.0539280541855339
1	165000001	166000000	1000000	*	0.0738541242782141
1	166000001	167000000	1000000	*	0.0330323355650865
1	167000001	168000000	1000000	*	0.0182275761490135
1	168000001	169000000	1000000	*	0.0558649734708801
1	169000001	170000000	1000000	*	0.0174948724158889
1	170000001	171000000	1000000	*	0.0445675506600361
1	171000001	172000000	1000000	*	0.0252193029307308
1	172000001	173000000	1000000	*	0.0244372181845682
1	173000001	174000000	1000000	*	0.012658156262335
1	174000001	175000000	1000000	*	-0.0242661705045271
1	175000001	176000000	1000000	*	0.0630968904229075
1	176000001	177000000	1000000	*	-0.0103816847395006
1	177000001	178000000	1000000	*	0.0231336887612787
1	178000001	179000000	1000000	*	0.0342105986736007
1	179000001	180000000	1000000	*	0.00372713427165764
1	180000001	181000000	1000000	*	-0.00433470657722955
1	181000001	182000000	1000000	*	0.035544732897633
1	182000001	183000000	1000000	*	0.00355698527495167
1	183000001	184000000	1000000	*	0.0308818169652634
1	184000001	185000000	1000000	*	0.00727223668621156
1	185000001	186000000	1000000	*	0.000614079748126276
1	186000001	187000000	1000000	*	0.0133087713051149
1	187000001	188000000	1000000	*	-0.00980804451279536
1	188000001	189000000	1000000	*	0.0171323529330449
1	189000001	190000000	1000000	*	NA
1	190000001	191000000	1000000	*	NA
1	191000001	192000000	1000000	*	0.036407364005833
1	192000001	193000000	1000000	*	0.00223918540325975
1	193000001	194000000	1000000	*	0.0219387917017364
1	194000001	195000000	1000000	*	0.00264053926334812
1	195000001	196000000	1000000	*	0.0164274076023019
1	196000001	197000000	1000000	*	-0.00229442827338811
1	197000001	198000000	1000000	*	0.0583123107044086
1	198000001	199000000	1000000	*	0.0424763436274004
1	199000001	200000000	1000000	*	0.0487655719330619
1	200000001	201000000	1000000	*	0.00940228817342868
1	201000001	202000000	1000000	*	0.124105276480726
1	202000001	203000000	1000000	*	0.0247188732004629
1	203000001	204000000	1000000	*	0.0435452068952117
1	204000001	205000000	1000000	*	0.0884912696413345
1	205000001	206000000	1000000	*	NA
1	206000001	207000000	1000000	*	NA
1	207000001	208000000	1000000	*	-0.0517541174062536
1	208000001	209000000	1000000	*	0.0789074264861606
1	209000001	210000000	1000000	*	0.0506247537660605
1	210000001	211000000	1000000	*	0.0389096839475234
1	211000001	212000000	1000000	*	0.0148242896108009
1	212000001	213000000	1000000	*	-0.0108782833555418
1	213000001	214000000	1000000	*	0.00828903341774172
1	214000001	215000000	1000000	*	0.0290439687704745
1	215000001	216000000	1000000	*	0.0032739301339653
1	216000001	217000000	1000000	*	-0.0022763664789699
1	217000001	218000000	1000000	*	-0.0153609440223286
1	218000001	219000000	1000000	*	-0.00817196059675025
1	219000001	220000000	1000000	*	0.00675470118688203
1	220000001	221000000	1000000	*	0.00874546202549916
1	221000001	222000000	1000000	*	0.0566083664153993
1	222000001	223000000	1000000	*	0.0116880528103122
1	223000001	224000000	1000000	*	NA
1	224000001	225000000	1000000	*	-0.0481318407826978
1	225000001	226000000	1000000	*	0.0341878576255401
1	226000001	227000000	1000000	*	-0.027429056168187
1	227000001	228000000	1000000	*	0.0184951976286
1	228000001	229000000	1000000	*	0.0295655840539933
1	229000001	230000000	1000000	*	0.0321729359158646
1	230000001	231000000	1000000	*	0.0477118172543755
1	231000001	232000000	1000000	*	0.0328636108170721
1	232000001	233000000	1000000	*	0.0675922514514897
1	233000001	234000000	1000000	*	0.0378801085421748
1	234000001	235000000	1000000	*	0.0357872260248399
1	235000001	236000000	1000000	*	NA
1	236000001	237000000	1000000	*	-0.00992475325749969
1	237000001	238000000	1000000	*	-0.024000710024882
1	238000001	239000000	1000000	*	0.0134744276559917
1	239000001	240000000	1000000	*	0.0435372506044459
1	240000001	241000000	1000000	*	-0.0363014122933243
1	241000001	242000000	1000000	*	-0.0101322164683876
1	242000001	243000000	1000000	*	-0.0345397223696094
1	243000001	244000000	1000000	*	-0.0816842488292438
1	244000001	245000000	1000000	*	0.000562512961181183
1	245000001	246000000	1000000	*	0.030967669119839
1	246000001	247000000	1000000	*	0.000775466154133071
1	247000001	248000000	1000000	*	-0.0351230460035945
1	248000001	249000000	1000000	*	NA
1	249000001	250000000	1000000	*	NA
2	1	1000000	1000000	*	NA
2	1000001	2000000	1000000	*	0.00847070577589501
2	2000001	3000000	1000000	*	0.0438671785186496
2	3000001	4000000	1000000	*	NA
2	4000001	5000000	1000000	*	-0.0485765506408285
2	5000001	6000000	1000000	*	NA
2	6000001	7000000	1000000	*	0.00713012987346845
2	7000001	8000000	1000000	*	0.0807342873443543
2	8000001	9000000	1000000	*	0.0366180540651578
2	9000001	10000000	1000000	*	0.0122938424175046
2	10000001	11000000	1000000	*	0.0289525763510698
2	11000001	12000000	1000000	*	0.0393439053161018
2	12000001	13000000	1000000	*	0.0529859095037243
2	13000001	14000000	1000000	*	0.0110495582068512
2	14000001	15000000	1000000	*	-0.0262160931593887
2	15000001	16000000	1000000	*	0.0484753230724945
2	16000001	17000000	1000000	*	NA
2	17000001	18000000	1000000	*	0.0640669749312885
2	18000001	19000000	1000000	*	0.0373339270273171
2	19000001	20000000	1000000	*	-0.0354717197164313
2	20000001	21000000	1000000	*	0.0200409301531689
2	21000001	22000000	1000000	*	NA
2	22000001	23000000	1000000	*	0.0101169011783844
2	23000001	24000000	1000000	*	0.0725885499672732
2	24000001	25000000	1000000	*	-0.00954017764172822
2	25000001	26000000	1000000	*	0.0130676439507097
2	26000001	27000000	1000000	*	0.0342140047253021
2	27000001	28000000	1000000	*	-0.0188213528141753
